"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 12 18:01:36 GMT 2023","Sun Nov 12 18:01:36 GMT 2023","360","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"failed","Sun Nov 12 18:01:35 GMT 2023","Sun Nov 12 18:01:35 GMT 2023","383","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Sun Nov 12 18:01:32 GMT 2023","Sun Nov 12 18:01:36 GMT 2023","3822","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Sun Nov 12 18:01:38 GMT 2023","Sun Nov 12 18:01:40 GMT 2023","1668","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"failed","Sun Nov 12 18:01:36 GMT 2023","Sun Nov 12 18:01:36 GMT 2023","406","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"failed","Sun Nov 12 18:01:32 GMT 2023","Sun Nov 12 18:01:35 GMT 2023","2659","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Sun Nov 12 18:01:32 GMT 2023","Sun Nov 12 18:01:36 GMT 2023","3221","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Sun Nov 12 18:01:37 GMT 2023","Sun Nov 12 18:01:38 GMT 2023","1345","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Sun Nov 12 18:01:36 GMT 2023","Sun Nov 12 18:01:38 GMT 2023","2670","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Sun Nov 12 18:01:36 GMT 2023","Sun Nov 12 18:01:37 GMT 2023","885","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
