"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1592","get folder successfully","Setel Regression Suite","Fri Nov 29 18:10:32 GMT 2024","passed","Fri Nov 29 18:10:34 GMT 2024","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","405","verify that update list successfully","Setel Regression Suite","Fri Nov 29 18:10:32 GMT 2024","failed","Fri Nov 29 18:10:33 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","3599","verify that create space successfully","Setel Regression Suite","Fri Nov 29 18:10:29 GMT 2024","passed","Fri Nov 29 18:10:33 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","1889","verify that update space successfully","Setel Regression Suite","Fri Nov 29 18:10:36 GMT 2024","passed","Fri Nov 29 18:10:38 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","1965","verify that create list successfully","Setel Regression Suite","Fri Nov 29 18:10:29 GMT 2024","failed","Fri Nov 29 18:10:31 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","1098","verify that delete space successfully","Setel Regression Suite","Fri Nov 29 18:10:33 GMT 2024","passed","Fri Nov 29 18:10:34 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","1824","verify that get space successfully","Setel Regression Suite","Fri Nov 29 18:10:34 GMT 2024","passed","Fri Nov 29 18:10:36 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","423","verify that get list successfully","Setel Regression Suite","Fri Nov 29 18:10:32 GMT 2024","failed","Fri Nov 29 18:10:32 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","2722","verify that delete folder successfully","Setel Regression Suite","Fri Nov 29 18:10:29 GMT 2024","passed","Fri Nov 29 18:10:32 GMT 2024","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","384","verify that delete list successfully","Setel Regression Suite","Fri Nov 29 18:10:31 GMT 2024","failed","Fri Nov 29 18:10:32 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
